Description,Category
Dinner at Xander's Cafe,Food/Dining
Monthly ration from Hyperstar,Food/Dining
Weekend brunch at Cosa Nostra,Food/Dining
Groceries from Imtiaz Supermarket,Food/Dining
Delivery order from Foodpanda,Food/Dining
Coffee from Gloria Jean's,Food/Dining
Meat from local butcher shop,Food/Dining
Lunch at Nando's,Food/Dining
Iftar items purchase,Food/Dining
Vegetables and fruits from Sunday bazaar,Food/Dining
Fine dining at Fuchsia,Food/Dining
Purchase of imported cheese,Food/Dining
Lunch meeting at PC Hotel,Food/Dining
High-end bakery items,Food/Dining
Coffee and snacks from Esajee's,Food/Dining
Pizza delivery order,Food/Dining
Dinner at BBQ Tonight,Food/Dining
Imported pet food,Food/Dining
Biryani from Student Biryani,Food/Dining
Chinese food from Chop Chop Wok,Food/Dining
Payment for domestic help (Maid),Utilities/Home
K-Electric bill payment (Electricity),Utilities/Home
Sui Northern Gas bill,Utilities/Home
PTCL Fiber internet subscription,Utilities/Home
Annual property tax payment,Utilities/Home
Driver monthly salary,Utilities/Home
Water dispenser refill,Utilities/Home
Monthly gardening services,Utilities/Home
Home gas cylinder refill,Utilities/Home
Water bill payment,Utilities/Home
Home insurance premium,Utilities/Home
Lawn maintenance chemicals,Utilities/Home
Payment to electrician,Utilities/Home
Furniture repair cost,Utilities/Home
Mobile phone bill (Zong/Jazz),Utilities/Home
Security guard salary,Utilities/Home
Cook monthly wages,Utilities/Home
AC servicing and repair,Utilities/Home
Water filter replacement,Utilities/Home
House deep cleaning service,Utilities/Home
Clothes purchased from Khaadi,Shopping
New kurta from Junaid Jamshed,Shopping
Sapphire lawn collection,Shopping
Zara new season shoes,Shopping
Purchase of electronics from Hafeez Centre,Shopping
New clothes from Gul Ahmed,Shopping
Makeup from MAC Cosmetics,Shopping
Purchase of laptop accessories,Shopping
Book purchase from Liberty Books,Shopping
Purchase of jewelry,Shopping
Designer bag purchase,Shopping
New set of bedsheets,Shopping
Salon haircut and treatment,Shopping
Winter coat from Outfitters,Shopping
Perfume from The Body Shop,Shopping
Kids school uniforms,Shopping
Kitchen appliances from Orient,Shopping
Winter shawls from Alkaram,Shopping
Amazon Prime annual fee,Entertainment/Subscrip
Netflix premium subscription,Entertainment/Subscrip
Tickets for a movie at Nueplex,Entertainment/Subscrip
Gym membership fee (Fitness First),Entertainment/Subscrip
Concert ticket purchase,Entertainment/Subscrip
Spotify monthly subscription,Entertainment/Subscrip
Movie rental charge,Entertainment/Subscrip
Subscription to local magazine,Entertainment/Subscrip
Fee for swimming class,Entertainment/Subscrip
Weekend getaway booking deposit,Entertainment/Subscrip
Video game purchase,Entertainment/Subscrip
Cable TV subscription (PTCL Smart TV),Entertainment/Subscrip
Art classes for children,Entertainment/Subscrip
Yoga studio membership,Entertainment/Subscrip
Fuel refill at Shell station,Transport
Uber ride to the airport,Transport
Careem ride within DHA,Transport
Car service and oil change,Transport
Monthly metro bus pass,Transport
Bike repair and parts,Transport
Toll plaza fee,Transport
Annual car insurance premium,Transport
Bykea ride fare,Transport
Monthly car wash service,Transport
Road trip fuel expenses,Transport
New tires for SUV,Transport
Car detailing service,Transport
High-speed rail ticket,Transport
Taxi fare to office,Transport
Fuel for backup generator,Transport
Airport parking charges,Transport
Car registration renewal,Transport
Primary school tuition fee (Beaconhouse),Education/Health
Consultation fee for family doctor,Education/Health
Pharmacy medicines purchase,Education/Health
University fee installment,Education/Health
Monthly tuition center fee,Education/Health
Dental check-up fee,Education/Health
Purchase of stationary for children,Education/Health
Emergency doctor visit,Education/Health
Purchase of textbooks,Education/Health
Prescription glasses,Education/Health
Children's school books,Education/Health
Eye examination fee,Education/Health
Multivitamins purchase,Education/Health
First aid kit refill,Education/Health
Birthday gift for colleague,Other
Donation to local charity,Other
Payment to tailor for stitching suits,Other
Withdrawal ATM fee,Other
Dry cleaning services,Other
Gift card purchase,Other
Courier charges (TCS),Other
Annual membership renewal,Other
Laundry service fee,Other
Shoe repair service,Other
Office lunch contribution,Other
Wedding gift for relative,Other
Charity donation during Ramadan,Other
Lost and found reward,Other
